,Round,Total mols,Valid mols without duplicate mols,Validity,Duplicate mols,Filtered mols,Filtered rate,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1
0,Retrain_0,1280,932,0.728125,0,110,0.118025751,0,0,0,0,0,0,0
1,Retrain_1,1280,1073,0.83828125,1,252,0.234855545,1,1,1,1,1,0,
2,Retrain_2,1280,1026,0.8015625,0,243,0.236842105,2,2,2,2,0,,
3,Retrain_3,1280,673,0.52578125,0,171,0.254086181,3,3,3,0,,,
4,Retrain_4,1280,977,0.76328125,0,289,0.29580348,4,4,0,,,,
5,Retrain_5,1280,1090,0.8515625,0,380,0.348623853,5,0,,,,,
6,Retrain_6,1280,1113,0.86953125,0,385,0.34591195,0,,,,,,
7,Retrain_7,1280,1030,0.8046875,0,397,0.385436893,,,,,,,
8,Retrain_8,1280,906,0.7078125,0,-,-,,,,,,,
