,Round,Total mols,Valid mols without duplicate mols,Duplicate mols,Validity,Filtered mols,Filtered rate
0,Normal_0,64000,32948,87,0.5148125,1715,0.052051718
1,Normal_1,64000,51824,2738,0.80975,18072,0.34871874
2,Normal_2,64000,47473,12678,0.741765625,21871,0.460703979
3,Normal_3,64000,36075,25578,0.563671875,22162,0.614331254
4,Normal_0,512,275,0,0.537109375,35,0.127272727
5,Normal_1,512,431,1,0.841796875,144,0.334106729
6,Normal_2,512,460,11,0.8984375,271,0.589130435
7,Normal_3,512,467,30,0.912109375,354,0.758029979
